"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "Docker", "YAML", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\HP\Documents\projects\tracker\SPEC.md", "Markdown", 0, 0, 0, 1022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 1146
"c:\Users\HP\Documents\projects\tracker\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 14
"c:\Users\HP\Documents\projects\tracker\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\projects\tracker\backend\app\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 5, 10, 33
"c:\Users\HP\Documents\projects\tracker\backend\app\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\HP\Documents\projects\tracker\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 11, 52
"c:\Users\HP\Documents\projects\tracker\backend\app\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\HP\Documents\projects\tracker\backend\app\models\achievement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 13, 44
"c:\Users\HP\Documents\projects\tracker\backend\app\models\chat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\HP\Documents\projects\tracker\backend\app\models\fitness.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 9, 33
"c:\Users\HP\Documents\projects\tracker\backend\app\models\goal.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\HP\Documents\projects\tracker\backend\app\models\habit.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 9, 34
"c:\Users\HP\Documents\projects\tracker\backend\app\models\learning.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 9, 36
"c:\Users\HP\Documents\projects\tracker\backend\app\models\mission.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\HP\Documents\projects\tracker\backend\app\models\user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 9, 47
"c:\Users\HP\Documents\projects\tracker\backend\app\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\projects\tracker\backend\app\routers\analytics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 21, 115
"c:\Users\HP\Documents\projects\tracker\backend\app\routers\auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 20, 97
"c:\Users\HP\Documents\projects\tracker\backend\app\routers\chat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 18, 85
